service_vertical,intent_slug,keywords,response_text,redirect_url
General,greet_hello,"hi, hello, hey, good morning, good evening","""Hello! Welcome to Area24. I’m here to help you with construction, interiors, real estate, development, and events across Bangalore, Mysore, and Ballari. Tell me what you’re planning, and I’ll guide you step by step.""",/
General,who_are_you,"who are you, are you a bot, what is this","""I’m the Area24 Assistant. My role is to understand your requirement, give you clear cost and process guidance, and connect you with the right Area24 expert when needed.""",/about
General,what_is_area24,"what is area24, about area24, area 24 company","""Area24 is a multi-domain consultancy group offering construction, interiors, real estate advisory, land development, and event management services. We operate primarily in Bangalore, Mysore, and Ballari.""",/about
General,services_overview,"services, what do you do, offerings, solutions","""We help with building homes, designing interiors, buying or investing in property, land development through joint ventures, and planning events. I can guide you to the right service based on your need.""",/services
General,cities_of_operation,"locations, which cities, service area","""We currently operate in Karnataka, mainly across Bangalore, Mysore, and Ballari. Costs and processes may vary slightly by city, and I’ll factor that in while guiding you.""",/locations
service_vertical,intent_slug,keywords,response_text,redirect_url
General,discovery_planning_type,"what are you planning, need help, planning project","""To guide you properly, I need to understand what you’re planning. Is it construction, interior design, property investment, land development, or are you just exploring options?""",/
General,discovery_project_location,"project location, where is site, city location","""Thanks. Could you tell me where your project is located? For example, Bangalore, Mysore, or Ballari. Location impacts cost, approvals, and timelines.""",/
General,discovery_project_purpose,"self use, rental, investment, commercial use","""What is the main purpose of this project — self-use, rental income, commercial use, or long-term investment? This helps in recommending the right approach.""",/
General,discovery_budget_range,"budget range, how much budget, cost limit","""Do you have a rough budget range in mind? You can choose a broad range like under ₹50L, ₹50L–₹1Cr, ₹1Cr–₹2Cr, or above ₹2Cr. This helps me avoid unrealistic suggestions.""",/
General,discovery_timeline,"project timeline, when to start, how soon","""What is your expected timeline? Immediate, within 3–6 months, or just planning for now? Timelines affect feasibility and cost planning.""",/
General,discovery_first_time,"first time project, new to construction","""Is this your first time handling a project like this? If yes, I’ll explain things in a simpler and more detailed way.""",/
General,discovery_confusion_area,"confused about cost, confused process, need clarity","""No problem. What are you most confused about right now — budget, process, approvals, or feasibility? I’ll start from there.""",/
service_vertical,intent_slug,keywords,response_text,redirect_url
General,greet_simple,"hi, hello, hey, hii, hlo","""Hello! I’m the Area24 Assistant. I can help you with construction, interiors, real estate, development, and events in Bangalore, Mysore, and Ballari. What are you planning?""",/
General,greet_formal,"good morning, good afternoon, good evening","""Good day! Welcome to Area24. Let me know what you’re planning, and I’ll guide you with clear cost and process details.""",/
General,greet_casual,"anyone there, are you there, help me","""Yes, I’m here 🙂 Tell me what you need help with, and I’ll take it step by step.""",/
General,assistant_identity,"are you human, are you ai, who is talking","""I’m a smart assistant built by Area24 to guide you through construction, interiors, property, and events with real-world clarity.""",/about
General,company_legitimacy,"is this a company, real company, genuine","""Yes, Area24 is a professional consultancy group operating across Karnataka with dedicated teams for each service vertical.""",/about
General,services_short,"what services, what help, what can you do","""We assist with building homes, designing interiors, buying or investing in property, land development, and event planning.""",/services
General,services_detailed,"explain services, full services list","""Our services include turnkey construction, premium interiors, real estate advisory, joint venture development, and curated events. I’ll help you choose what fits best.""",/services
General,service_selection_help,"which service should i choose, confused service","""That’s common. I’ll ask a few simple questions to understand your plan and suggest the right service.""",/
General,operating_cities,"bangalore mysore ballari, service locations","""We currently operate in Bangalore, Mysore, and Ballari. Costs, approvals, and timelines vary slightly by city.""",/locations
General,other_city_query,"other cities, outside karnataka","""At the moment, our active operations are focused on Karnataka. If you’re planning elsewhere, I can still give general guidance.""",/locations
General,contact_general,"contact, phone number, call you","""You can contact us via phone, WhatsApp, or request a callback. I can arrange that once we understand your requirement.""",/contact
General,office_visit,"office address, visit office","""Yes, you can visit our office by appointment. I can share the nearest office details based on your city.""",/contact
General,working_hours,"office timing, working hours","""Our teams are available during standard business hours. Online assistance is available anytime for guidance.""",/contact
General,language_support,"kannada support, english, language","""We assist in English and Kannada, depending on your comfort.""",/
General,privacy_concern,"is my data safe, privacy","""Your details are used only to assist with your request and are handled confidentially.""",/privacy
General,no_sales_pressure,"will you force sales, sales call","""No. My role is to give clarity first. You decide the next step only if you’re comfortable.""",/
General,help_navigation,"how to start, guide me","""No worries. Just tell me what you’re planning, even if it’s unclear. I’ll guide you from there.""",/
General,trust_signal,"why trust area24, can i trust you","""We focus on transparent guidance, realistic numbers, and documented processes. Trust is built through clarity, not pressure.""",/about
General,user_thanks,"thanks, ok thanks, got it","""You’re welcome! Let me know if you want to go deeper or need estimates.""",/
General,exit_polite,"bye, exit, later","""Sure. Whenever you’re ready, I’ll be here to help.""",/
service_vertical,intent_slug,keywords,response_text,redirect_url
General,discovery_start,"need guidance, not sure, help decide","""No problem. I’ll ask a few simple questions to understand your requirement and guide you correctly.""",/
General,discovery_plan_type,"build house, interior work, buy property, event","""What best describes what you’re planning right now — construction, interiors, property investment, development, or events?""",/
General,discovery_location_city,"project city, site city, location city","""Which city is your project in — Bangalore, Mysore, or Ballari?""",/
General,discovery_location_area,"which area, locality, zone","""Do you know the locality or area? This helps refine cost and feasibility.""",/
General,discovery_property_status,"land available, already have site, no land","""Do you already own land/property, or are you still exploring options?""",/
General,discovery_purpose_use,"self living, rent, resale, business","""Is this for self-use, rental income, commercial use, or investment?""",/
General,discovery_budget_broad,"low budget, medium budget, high budget","""Do you have a rough budget band in mind? Even an approximate range is enough.""",/
General,discovery_budget_comfort,"budget flexible, fixed budget","""Is your budget fixed, or can it be adjusted based on feasibility?""",/
General,discovery_timeline_start,"when to start, project start","""When are you planning to start — immediately, in a few months, or just exploring?""",/
General,discovery_timeline_pressure,"urgent, fast project, no hurry","""Is there any urgency, or are timelines flexible?""",/
General,discovery_experience,"first time, experienced","""Have you handled similar projects before, or is this your first time?""",/
General,discovery_decision_role,"decision maker, family decision","""Are you the main decision-maker, or will others be involved?""",/
General,discovery_information_level,"need full explanation, brief info","""Would you prefer a detailed explanation or a quick summary?""",/
General,discovery_cost_focus,"cost first, process later","""Would you like to understand costs first, or the process and options?""",/
General,discovery_quality_preference,"budget vs premium, quality focus","""Do you prefer cost-optimized solutions or premium-quality execution?""",/
General,discovery_risk_appetite,"low risk, open to risk","""Are you more comfortable with safe options or open to calculated risks?""",/
